Place,Deck,Pilot,deck_id,PC1,PC2
6th,4c Living End,Moukton1,4369699,1.44512541102077,3.65222230697163
7th,Azorius Control,Lavaridge,4369700,6.23848609805572,4.44827247202756
8th,Murktide Regent,Penseur,4369701,2.34704276879578,-1.11115792324287
1st,Jeskai Stoneblade,Talisker,4368878,2.83421772837213,1.25321177902567
2nd,Dimir Mill,tibalt_of_red_sub,4368879,0.260830544460757,-6.92358976443863
3rd,Jund,Jeppeapan,4368880,-1.45447970462438,-4.25839254544869
4th,Hammer Time,JUJUBEAN__2004,4368881,-3.06448057671853,-7.08204815722481
5th,4c Omnath,Deathnote1999,4368882,2.14896701233491,4.56336952055921
6th,Crashing Footfalls,bellfy,4368883,1.96538994879558,3.94258342860581
7th,Jund Death's Shadow,SpicyLeche,4368884,-1.0783473773704,-3.87215698838868
8th,Crashing Footfalls,rarehunter13,4368885,2.61818877270999,3.94499974531876
1st,Yawgmoth,DemonicTutors,4356933,-14.5707791987475,8.60702445489879
2nd,Jeskai Control,Ivc,4356934,5.90454732796171,4.32758928317196
3rd,Dimir Mill,WuduWuda,4356935,0.849352462856159,-5.89550471964927
4th,Orzhov Stoneblade,An_Actual_Potato,4356936,-2.8715752167646,-6.86786141058352
5th,Azorius Control,WaToO,4356937,6.50703142556324,4.63287759528031
6th,Jund,Simarisu,4356938,-1.64334922520927,-4.69141438356207
7th,4c Living End,silencsong,4356939,1.50869369361351,3.65847982343635
8th,Jund,Thalai,4356940,-1.33234548497323,-4.54683351994587
1st,Azorius Blink,Curryvore,4354639,7.35881646595935,5.53176165664691
2nd,Hammer Time,Darthkid,4354640,-2.99041499819844,-6.85793860788134
3rd,Burn,frakom,4354641,0.365398399389557,-3.69599254319235
4th,Hammer Time,Wolfie98,4354642,-2.31406285124417,-6.49549977593751
5th,Burn,PTarts2win,4354643,0.592305292579821,-3.54421580158385
6th,Amulet Titan,PuntThenWhine,4354644,-10.5815178798006,6.86470457948867
7th,4c Blink,kanister,4354645,5.366767410438,5.42494209361916
